RegionID,RegionName,State,Metro,CountyName,SizeRank,% increase over 1996 to 2016
47164,Pleasanton,CA,San Francisco,Alameda,542,348.6%
47198,Port Hueneme,CA,Ventura,Ventura,2279,266.6%
47322,Redding,CA,Redding,Shasta,276,222.1%
47401,Riverside,CA,Riverside,Riverside,54,318.0%
47510,Saint Helena,CA,Napa,Napa,4567,#DIV/0!
47544,San Anselmo,CA,San Francisco,Marin,2548,318.8%
47547,San Fernando,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1761,349.3%
47550,San Lorenzo,CA,San Francisco,Alameda,1472,335.2%
47568,Santa Ana,CA,Los Angeles-Long Beach-Anaheim,Orange,50,326.2%
47570,Santa Maria,CA,Santa Maria-Santa Barbara,Santa Barbara,206,265.9%
47583,Sausalito,CA,San Francisco,Marin,3833,336.3%
47677,Shingle Springs,CA,Sacramento,El Dorado,1478,241.1%
47695,Sierra Madre,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3419,373.1%
47746,Sonoma,CA,Santa Rosa,Sonoma,1145,315.7%
47762,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,320,276.0%
47812,Springville,CA,Visalia,Tulare,8165,128.0%
47889,Suisun City,CA,Vallejo,Solano,1862,252.8%
48047,Truckee,CA,Truckee,Nevada,2335,307.9%
48103,Upper Lake,CA,Clearlake,Lake,10225,#DIV/0!
48424,West Hollywood,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1246,496.1%
48569,Woodland,CA,Sacramento,Yolo,710,248.1%
48710,Arnold,CA,,Calaveras,9232,212.0%
49133,Homewood,CA,Sacramento,Placer,10373,#DIV/0!
49139,Elverta,CA,Sacramento,Sacramento,5148,323.2%
49205,Lamont,CA,Bakersfield,Kern,3264,171.2%
49259,Dinuba,CA,Visalia,Tulare,1432,178.3%
49269,Ferndale,CA,Eureka,Humboldt,9409,164.5%
49278,Gualala,CA,Ukiah,Mendocino,8815,#DIV/0!
49384,Earlimart,CA,Visalia,Tulare,6780,190.6%
49611,Newark,CA,San Francisco,Alameda,989,379.7%
49649,Rio Dell,CA,Eureka,Humboldt,7589,#DIV/0!
49694,Pioneer,CA,,Amador,7152,194.1%
50350,Camino,CA,Sacramento,El Dorado,9646,256.0%
50415,Cedar Glen,CA,Riverside,San Bernardino,9580,272.4%
50453,Orosi,CA,Visalia,Tulare,3275,190.1%
50616,Coachella,CA,Riverside,Riverside,1224,275.2%
50677,Alhambra,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,430,349.8%
50742,Apple Valley,CA,Riverside,San Bernardino,549,235.9%
50749,Arcadia,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,640,390.8%
50774,Arvin,CA,Bakersfield,Kern,2167,214.5%
50797,Atwater,CA,Merced,Merced,1311,227.1%
